423205 St-VDOT,423205 St-VDOT,"680,000","280,000","280,000",,0
Org Code 740-00-000-0000-000000-000,Org Code 740-00-000-0000-000000-000,"680,000","280,000","280,000",,0
32 Intergovernmental Revenue,32 Intergovernmental Revenue,"680,000","280,000","280,000",,0
33 Charges For Services,33 Charges For Services,,,,,
740-00-000-0000-000000-000 Waste Management Fund,740-00-000-0000-000000-000 Waste Management Fund,740-00-000-0000-000000-000 Waste Management Fund,,,,
413180 Fees-Refuse,413180 Fees-Refuse,"12,799,822","11,890,742","11,890,742","12,000,000",
418708 Sale of Trash Cans,418708 Sale of Trash Cans,0,"11,250","11,250",,0
418925 Gain(Loss) Disposal of Assets,418925 Gain(Loss) Disposal of Assets,"-43,168",0,0,,0
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,"1,438","4,800","4,800","4,800",
Org Code 740-00-000-0000-000000-000,Org Code 740-00-000-0000-000000-000,"12,758,092","11,906,792","11,906,792","12,004,800",
,33 Charges For Services,"12,758,092","11,906,792","11,906,792","12,004,800",
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,,
740-00-000-0000-000000-000 Waste Management Fund,740-00-000-0000-000000-000 Waste Management Fund,740-00-000-0000-000000-000 Waste Management Fund,,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,"1,321",0,0,,0
Org Code 740-00-000-0000-000000-000,Org Code 740-00-000-0000-000000-000,"1,321",0,0,,0
34 Revenue from Use of Money,34 Revenue from Use of Money,"1,321",0,0,,0
90 Operating Transfers In,90 Operating Transfers In,,,,,
740-00-000-0000-000000-000 Waste Management Fund,740-00-000-0000-000000-000 Waste Management Fund,740-00-000-0000-000000-000 Waste Management Fund,,,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,0,0,0,"280,000",
499420 Trans Fr Stormwater Mgmt Fund,499420 Trans Fr Stormwater Mgmt Fund,0,"400,000","400,000",,0
Org Code 740-00-000-0000-000000-000,Org Code 740-00-000-0000-000000-000,0,"400,000","400,000","280,000",
,90 Operating Transfers In,0,"400,000","400,000","280,000",
,740 Waste Management Fund,"13,439,413","12,586,792","12,586,792","12,284,800",
,,Portsmouth Parking Authority,Portsmouth Parking Authority,Portsmouth Parking Authority,Portsmouth Parking Authority,
33 Charges For Services,33 Charges For Services,,,,,
750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,,,
413065 Fees-Daily Receipts and Meters,413065 Fees-Daily Receipts and Meters,"342,491","351,110","351,110","312,850",
413090 Fees-Event Parking,413090 Fees-Event Parking,"44,101","56,415","56,415","55,226",
418704 Sale of Equipment,418704 Sale of Equipment,"3,450",0,0,,0
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,518,800,800,800,
Org Code 750-00-000-0000-000000-000,Org Code 750-00-000-0000-000000-000,"390,560","408,325","408,325","368,876",
,33 Charges For Services,"390,560","408,325","408,325","368,876",
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,,
750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,0,"1,650","1,650","1,650",
Org Code 750-00-000-0000-000000-000,Org Code 750-00-000-0000-000000-000,0,"1,650","1,650","1,650",
GovMax V5,,,,18-73,,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,Budget
,,Portsmouth Parking Authority,Portsmouth Parking Authority,Portsmouth Parking Authority,
,34 Revenue from Use of Money,0,"1,650","1,650","1,650"
35 Fines and Forfeitures,35 Fines and Forfeitures,,,,
750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,,
415125 Fines-Parking Violations,415125 Fines-Parking Violations,"261,279","259,896","259,896","232,133"
Org Code 750-00-000-0000-000000-000,Org Code 750-00-000-0000-000000-000,"261,279","259,896","259,896","232,133"
,35 Fines and Forfeitures,"261,279","259,896","259,896","232,133"
60 Use Of Property,60 Use Of Property,,,,
750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,,
417808 Rental-Monthly,417808 Rental-Monthly,"724,679","754,620","754,620","818,420"
417899 Use of Property-Other,417899 Use of Property-Other,600,550,550,550
Org Code 750-00-000-0000-000000-000,Org Code 750-00-000-0000-000000-000,"725,279","755,170","755,170","818,970"
,60 Use Of Property,"725,279","755,170","755,170","818,970"
90 Operating Transfers In,90 Operating Transfers In,,,,
750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,750-00-000-0000-000000-000 Portsmouth Parking Authority,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,"124,238","261,475","261,475","64,397"
Org Code 750-00-000-0000-000000-000,Org Code 750-00-000-0000-000000-000,"124,238","261,475","261,475","64,397"
,90 Operating Transfers In,"124,238","261,475","261,475","64,397"
750 Portsmouth Parking Authority,750 Portsmouth Parking Authority,"1,501,356","1,686,516","1,686,516","1,486,026"
,,,City Garage Fund,City Garage Fund,
33 Charges For Services,33 Charges For Services,,,,
800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,,,
413135 Fees-Motor Pool,413135 Fees-Motor Pool,"20,853","14,000","14,000","14,000"
413265 Fees-Vehicle Impound,413265 Fees-Vehicle Impound,"191,308","220,000","220,000","220,000"
413310 Fees-City Garage,413310 Fees-City Garage,"8,283,528","8,040,499","8,040,499","8,040,499"
418704 Sale of Equipment,418704 Sale of Equipment,"174,908",0,0,0
418925 Gain(Loss) Disposal of Assets,418925 Gain(Loss) Disposal of Assets,"-107,360",0,0,0
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,"1,426",0,0,0
Org Code 800-00-000-0000-000000-000,Org Code 800-00-000-0000-000000-000,"8,564,663","8,274,499","8,274,499","8,274,499"
,33 Charges For Services,"8,564,663","8,274,499","8,274,499","8,274,499"
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,
800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,489,0,0,0
Org Code 800-00-000-0000-000000-000,Org Code 800-00-000-0000-000000-000,489,0,0,0
,34 Revenue from Use of Money,489,0,0,0
36 Miscellaneous Revenue,36 Miscellaneous Revenue,,,,
800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,,,
419240 Invest Inc-BAPCC Sch 4,419240 Invest Inc-BAPCC Sch 4,457,0,0,0
Org Code 800-00-000-0000-000000-000,Org Code 800-00-000-0000-000000-000,457,0,0,0
GovMax V5,GovMax V5,,,18-74,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,,Budget
,,,City Garage Fund,City Garage Fund,,
,36 Miscellaneous Revenue,457,0,0,,0
90 Operating Transfers In,90 Operating Transfers In,,,,,
800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,,,,
499420 Trans Fr Stormwater Mgmt Fund,499420 Trans Fr Stormwater Mgmt Fund,0,0,0,"44,000",
Org Code 800-00-000-0000-000000-000,Org Code 800-00-000-0000-000000-000,0,0,0,"44,000",
,90 Operating Transfers In,0,0,0,"44,000",
99 Fund Balance,99 Fund Balance,,,,,
800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,800-00-000-0000-000000-000 City Garage Fund,,,,
390098 Budgetary Fund Balance,390098 Budgetary Fund Balance,0,"485,806","485,806","1,614,249",
Org Code 800-00-000-0000-000000-000,Org Code 800-00-000-0000-000000-000,0,"485,806","485,806","1,614,249",
,99 Fund Balance,0,"485,806","485,806","1,614,249",
,800 City Garage Fund,"8,565,609","8,760,305","8,760,305","9,932,748",
,,,Information Technology Fund,Information Technology Fund,Information Technology Fund,
33 Charges For Services,33 Charges For Services,,,,,
810-00-000-0000-000000-000 Information Technology Fund,810-00-000-0000-000000-000 Information Technology Fund,810-00-000-0000-000000-000 Information Technology Fund,810-00-000-0000-000000-000 Information Technology Fund,,,
413136 Fees-Information Technology,413136 Fees-Information Technology,"4,965,034","5,082,219","5,082,219","5,025,310",
418925 Gain(Loss) Disposal of Assets,418925 Gain(Loss) Disposal of Assets,"-3,105",0,0,,0
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,"27,435","34,375","34,375","30,000",
Org Code 810-00-000-0000-000000-000,Org Code 810-00-000-0000-000000-000,"4,989,364","5,116,594","5,116,594","5,055,310",
,33 Charges For Services,"4,989,364","5,116,594","5,116,594","5,055,310",
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,,
810-00-000-0000-000000-000 Information Technology Fund,810-00-000-0000-000000-000 Information Technology Fund,810-00-000-0000-000000-000 Information Technology Fund,810-00-000-0000-000000-000 Information Technology Fund,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,254,"10,000","10,000","5,000",
Org Code 810-00-000-0000-000000-000,Org Code 810-00-000-0000-000000-000,254,"10,000","10,000","5,000",
34 Revenue from Use of Money,34 Revenue from Use of Money,254,"10,000","10,000","5,000",
810 Information Technology Fund,810 Information Technology Fund,"4,989,618","5,126,594","5,126,594","5,060,310",
,,,Risk Management Fund,Risk Management Fund,,
33 Charges For Services,33 Charges For Services,,,,,
820-00-000-0000-000000-000 Risk Management Fund,820-00-000-0000-000000-000 Risk Management Fund,820-00-000-0000-000000-000 Risk Management Fund,,,,
413137 Fees-Risk Management,413137 Fees-Risk Management,"5,658,241","5,685,363","5,685,363","5,768,536",
Org Code 820-00-000-0000-000000-000,Org Code 820-00-000-0000-000000-000,"5,658,241","5,685,363","5,685,363","5,768,536",
,33 Charges For Services,"5,658,241","5,685,363","5,685,363","5,768,536",
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,,
820-00-000-0000-000000-000 Risk Management Fund,820-00-000-0000-000000-000 Risk Management Fund,820-00-000-0000-000000-000 Risk Management Fund,,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,"2,448",0,0,,0
Org Code 820-00-000-0000-000000-000,Org Code 820-00-000-0000-000000-000,"2,448",0,0,,0
GovMax V5,,,,18-75,,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,,
Account,,FY 2012,FY 2013,FY 2013,FY 2014,FY 2018
Code,Revenue Description,Actual,Adopted,Amended,Budget,
,,,Risk Management Fund,Risk Management Fund,,
,34 Revenue from Use of Money,"2,448",0,0,0,
40 Recovered Costs,40 Recovered Costs,,,,,
820-00-000-0000-000000-000 Risk Management Fund,820-00-000-0000-000000-000 Risk Management Fund,820-00-000-0000-000000-000 Risk Management Fund,,,,
414235 RC-Insurance Recoveries,414235 RC-Insurance Recoveries,"163,303","50,000","50,000","50,000",
414295 RC-Workers Compensation,414295 RC-Workers Compensation,"194,155",0,0,0,
414999 RC- Other Recovered Costs,414999 RC- Other Recovered Costs,343,0,0,0,
Org Code 820-00-000-0000-000000-000,Org Code 820-00-000-0000-000000-000,"357,801","50,000","50,000","50,000",
,40 Recovered Costs,"357,801","50,000","50,000","50,000",
,820 Risk Management Fund,"6,018,490","5,735,363","5,735,363","5,818,536",
,,,Health Insurance Fund,Health Insurance Fund,,
33 Charges For Services,33 Charges For Services,,,,,
830-00-000-0000-000000-000 Health Insurance Fund,830-00-000-0000-000000-000 Health Insurance Fund,830-00-000-0000-000000-000 Health Insurance Fund,,,,
413142 Fees-Medicare Reimbursement,413142 Fees-Medicare Reimbursement,"248,341","248,592","248,592","130,000",
413915 Contributions-EE,413915 Contributions-EE,"3,161,429","4,817,135","4,817,135","3,599,998",
413920 Contributions-ER,413920 Contributions-ER,"9,192,150","12,046,073","12,046,073","14,986,413",
413925 Contributions-Retiree,413925 Contributions-Retiree,"3,411,360","2,753,496","2,753,496","3,314,952",
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,148,0,0,0,
Org Code 830-00-000-0000-000000-000,Org Code 830-00-000-0000-000000-000,"16,013,428","19,865,296","19,865,296","22,031,363",
,33 Charges For Services,"16,013,428","19,865,296","19,865,296","22,031,363",
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,,
830-00-000-0000-000000-000 Health Insurance Fund,830-00-000-0000-000000-000 Health Insurance Fund,830-00-000-0000-000000-000 Health Insurance Fund,,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,641,0,0,0,
Org Code 830-00-000-0000-000000-000,Org Code 830-00-000-0000-000000-000,641,0,0,0,
,34 Revenue from Use of Money,641,0,0,0,
36 Miscellaneous Revenue,36 Miscellaneous Revenue,,,,,
830-00-000-0000-000000-000 Health Insurance Fund,830-00-000-0000-000000-000 Health Insurance Fund,830-00-000-0000-000000-000 Health Insurance Fund,,,,
432365 FED-E.R.R.P.,432365 FED-E.R.R.P.,"399,605",0,0,0,
Org Code 830-00-000-0000-000000-000,Org Code 830-00-000-0000-000000-000,"399,605",0,0,0,
,36 Miscellaneous Revenue,"399,605",0,0,0,
,830 Health Insurance Fund,"16,413,674","19,865,296","19,865,296","22,031,363",
GovMax V5,,,,18-76,,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,,,,,,,
Account,,FY 2012,,FY 2013,FY 2013,FY 2014,FY 2018
Code,Revenue Description,Actual,,Adopted,Amended,Budget,
,,,Portsmouth City Public Schools,Portsmouth City Public Schools,Portsmouth City Public Schools,Portsmouth City Public Schools,
51 School General Fund,51 School General Fund,,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400000 State Funds - Schools,400000 State Funds - Schools,,0,"83,537,452","83,537,452",0,
400001 City Funds,,,0,0,0,"47,300,000",
400002 Federal Funds,,,0,0,0,"700,000",
400003 Other Funds,,,0,0,0,"1,625,000",
400004 State Sales Tax for Education,400004 State Sales Tax for Education,,0,0,0,"14,821,566",
400005 State Revenue,,,0,0,0,"69,865,727",
400300 Other Funds - Schools,400300 Other Funds - Schools,,0,"72,799,262","72,799,262",0,
,Org Code 85010,Org Code 85010,0,"156,336,714","156,336,714","134,312,293",
,51 School General Fund,51 School General Fund,0,"156,336,714","156,336,714","134,312,293",
52 School Grant Fund,52 School Grant Fund,,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400100 School Grants Fund,,,0,"700,000","700,000",0,
400101 Federal Revenue,,,0,0,0,"11,742,365",
400102 State Revenue,,,0,0,0,"3,956,431",
400103 Other Revenue,,,0,0,0,"198,889",
400104 Transfers In,,,0,0,0,"1,249,175",
,Org Code 85010,Org Code 85010,0,"700,000","700,000","17,146,860",
,52 School Grant Fund,52 School Grant Fund,0,"700,000","700,000","17,146,860",
53 School Food Services Fund,53 School Food Services Fund,53 School Food Services Fund,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400200 School Cafeteria Fund,400200 School Cafeteria Fund,,0,"7,604,000","7,604,000",0,
400201 State Revenue,,,0,0,0,"125,000",
400202 Federal Revenue,,,0,0,0,"5,756,183",
400203 Charges for Services,400203 Charges for Services,,0,0,0,"1,220,000",
400204 Donated Commodities,400204 Donated Commodities,,0,0,0,"400,000",
400205 Other Revenue,,,0,0,0,"719,321",
,Org Code 85010,Org Code 85010,0,"7,604,000","7,604,000","8,220,504",
53 School Food Services Fund,53 School Food Services Fund,53 School Food Services Fund,0,"7,604,000","7,604,000","8,220,504",
54 School Risk Mgmt Fund,54 School Risk Mgmt Fund,,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400301 Transfers In,,,0,0,0,"955,702",
,Org Code 85010,Org Code 85010,0,0,0,"955,702",
,54 School Risk Mgmt Fund,54 School Risk Mgmt Fund,0,0,0,"955,702",
55 School Print Shop Fund,55 School Print Shop Fund,,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
